Dan Katz,Mark L. Gottlieb,{'puzzle_name': "The Combatant's Guide to Zyzzlvaria", 'hunt_name': 'MIT Mystery Hunt 2009'}
Dan Katz,Kimmerie Dunkel-Jones,{'puzzle_name': 'Where the Hell is Captain Blastoid?', 'hunt_name': 'MIT Mystery Hunt 2009'}
Dan Katz,Brie Frame,{'puzzle_name': 'Where the Hell is Captain Blastoid?', 'hunt_name': 'MIT Mystery Hunt 2009'}
Dan Katz,Michael Cooke,{'puzzle_name': 'Where the Hell is Captain Blastoid?', 'hunt_name': 'MIT Mystery Hunt 2009'}
Dan Katz,Anand Sarwate,{'puzzle_name': 'A Mad Cocktail Party', 'hunt_name': 'MIT Mystery Hunt 2014'}
Dan Katz,Jason Juang,{'puzzle_name': 'The Lion and the Unicorn', 'hunt_name': 'MIT Mystery Hunt 2014'}
Dan Katz,Chieu Nguyen,{'puzzle_name': 'Technical Program Committee Report', 'hunt_name': 'MIT Mystery Hunt 2014'}
Dan Katz,Laura Royden,{'puzzle_name': 'A Mad Cocktail Party', 'hunt_name': 'MIT Mystery Hunt 2014'}
Dan Katz,Erin Rhode,{'puzzle_name': 'Magic Mushrooms', 'hunt_name': 'MIT Mystery Hunt 2014'}
Dan Katz,Usman Akeju,{'puzzle_name': 'A Mad Cocktail Party', 'hunt_name': 'MIT Mystery Hunt 2014'}
Dan Katz,Brandy Buckingham,{'puzzle_name': 'Magic Mushrooms', 'hunt_name': 'MIT Mystery Hunt 2014'}
Dan Katz,Robbie Buckingham,{'puzzle_name': 'Can + Tab + Rig + Ian', 'hunt_name': 'MIT Mystery Hunt 2014'}
Dan Katz,Jackie Anderson,{'puzzle_name': 'Letters from the Battlefield', 'hunt_name': 'MIT Mystery Hunt 2019'}
Dan Katz,Aaron Bader,{'puzzle_name': 'A Mad Cocktail Party', 'hunt_name': 'MIT Mystery Hunt 2014'}
Dan Katz,Kevin G. Der,{'puzzle_name': 'A Puzzle with the Answer NOWHERE MAN', 'hunt_name': 'MIT Mystery Hunt 2014'}
Dan Katz,Seth Bisen-Hersh,{'puzzle_name': 'A Mad Cocktail Party', 'hunt_name': 'MIT Mystery Hunt 2014'}
Dan Katz,Capen Low,{'puzzle_name': 'A Mad Cocktail Party', 'hunt_name': 'MIT Mystery Hunt 2014'}
Dan Katz,Hanna Starobinets,{'puzzle_name': 'A Mad Cocktail Party', 'hunt_name': 'MIT Mystery Hunt 2014'}
Dan Katz,Lauren Herring,{'puzzle_name': 'The Lion and the Unicorn', 'hunt_name': 'MIT Mystery Hunt 2014'}
Dan Katz,Ankur Mehta,{'puzzle_name': 'The Lion and the Unicorn', 'hunt_name': 'MIT Mystery Hunt 2014'}
Dan Katz,James Wiken,{'puzzle_name': 'The Lion and the Unicorn', 'hunt_name': 'MIT Mystery Hunt 2014'}
Dan Katz,Scott Purdy,{'puzzle_name': 'Subservient Chicken vs. Tim the Beaver', 'hunt_name': 'MIT Mystery Hunt 2017'}
Dan Katz,Connor Stokes,{'puzzle_name': 'The Maniacal Merchants', 'hunt_name': 'MIT Mystery Hunt 2017'}
Dan Katz,Todd McClary,{'puzzle_name': 'The Maniacal Merchants', 'hunt_name': 'MIT Mystery Hunt 2017'}
Dan Katz,Jeff Roberts,{'puzzle_name': 'Elf/Dwarf Brawl', 'hunt_name': 'MIT Mystery Hunt 2017'}
Dan Katz,Tom Buehler,{'puzzle_name': 'Subservient Chicken vs. Tim the Beaver', 'hunt_name': 'MIT Mystery Hunt 2017'}
Dan Katz,Trip Payne,{'puzzle_name': 'Subservient Chicken vs. Tim the Beaver', 'hunt_name': 'MIT Mystery Hunt 2017'}
Dan Katz,Alex Rosenthal,{'puzzle_name': 'Haunted', 'hunt_name': 'MIT Mystery Hunt 2019'}
Dan Katz,TK Focht,{'puzzle_name': 'The Maniacal Merchants', 'hunt_name': 'MIT Mystery Hunt 2017'}
Dan Katz,Brooks Willis,{'puzzle_name': 'The Maniacal Merchants', 'hunt_name': 'MIT Mystery Hunt 2017'}
Dan Katz,Philip Z Loh,{'puzzle_name': 'Middle School of Mines', 'hunt_name': 'MIT Mystery Hunt 2019'}
Dan Katz,Matt Gruskin,{'puzzle_name': 'Getting Digits', 'hunt_name': 'MIT Mystery Hunt 2019'}
Dan Katz,Matto Mildenberger,{'puzzle_name': 'Keeping Tabs', 'hunt_name': 'MIT Mystery Hunt 2019'}
Dan Katz,Rebecca Vessenes,{'puzzle_name': 'Keeping Tabs', 'hunt_name': 'MIT Mystery Hunt 2019'}
Dan Katz,Justin Werfel,{'puzzle_name': 'Keeping Tabs', 'hunt_name': 'MIT Mystery Hunt 2019'}
Dan Katz,Jennifer Berk,{'puzzle_name': 'Protection Plan', 'hunt_name': 'MIT Mystery Hunt 2019'}
Dan Katz,Marisa Debowsky,{'puzzle_name': 'Protection Plan', 'hunt_name': 'MIT Mystery Hunt 2019'}
Dan Katz,Berit Johnson,{'puzzle_name': 'Protection Plan', 'hunt_name': 'MIT Mystery Hunt 2019'}
Dan Katz,Julia Tenney,{'puzzle_name': 'Protection Plan', 'hunt_name': 'MIT Mystery Hunt 2019'}
Brian Tivol,Dave Tuller,{'puzzle_name': 'Much Paint, Many Numbers', 'hunt_name': 'MIT Mystery Hunt 2002'}
