Dan Katz,Brandy Buckingham,{'puzzle_name': 'Magic Mushrooms', 'hunt_name': 'MIT Mystery Hunt 2014'}
Dan Katz,Jason Juang,{'puzzle_name': 'The Lion and the Unicorn', 'hunt_name': 'MIT Mystery Hunt 2014'}
Dan Katz,Lauren Herring,{'puzzle_name': 'The Lion and the Unicorn', 'hunt_name': 'MIT Mystery Hunt 2014'}
Dan Katz,Ankur Mehta,{'puzzle_name': 'The Lion and the Unicorn', 'hunt_name': 'MIT Mystery Hunt 2014'}
Dan Katz,James Wiken,{'puzzle_name': 'The Lion and the Unicorn', 'hunt_name': 'MIT Mystery Hunt 2014'}
Greg Pliska,Kiran Kedlaya,{'puzzle_name': 'Endgame', 'hunt_name': 'MIT Mystery Hunt 2005'}
Greg Pliska,Guy Jacobson,{'puzzle_name': 'Pi Day Town/Bloomsday Town Meta', 'hunt_name': 'MIT Mystery Hunt 2019'}
Greg Pliska,Vera Tobin,{'puzzle_name': 'American Icons', 'hunt_name': 'MIT Mystery Hunt 2019'}
Greg Pliska,Margot Pliska,{'puzzle_name': 'American Icons', 'hunt_name': 'MIT Mystery Hunt 2019'}
Greg Pliska,Steve Cook,{'puzzle_name': 'American Icons', 'hunt_name': 'MIT Mystery Hunt 2019'}
Greg Pliska,Tanis O'Connor,{'puzzle_name': 'Stuffing', 'hunt_name': 'MIT Mystery Hunt 2019'}
Greg Pliska,Andy Boroson,{'puzzle_name': 'Pi Day Town/Bloomsday Town Meta', 'hunt_name': 'MIT Mystery Hunt 2019'}
Greg Pliska,Matto Mildenberger,{'puzzle_name': 'Pi Day Town/Bloomsday Town Meta', 'hunt_name': 'MIT Mystery Hunt 2019'}
Greg Pliska,Mike Walsh,{'puzzle_name': 'Pi Day Town/Bloomsday Town Meta', 'hunt_name': 'MIT Mystery Hunt 2019'}
Kiran Kedlaya,Guy Jacobson,{'puzzle_name': 'Digital Display', 'hunt_name': 'MIT Mystery Hunt 2017'}
Oliver Kosut,Cally Perry,{'puzzle_name': 'Get on with It', 'hunt_name': 'MIT Mystery Hunt 2006'}
Oliver Kosut,Andrew Thomas,{'puzzle_name': 'The Crypt', 'hunt_name': 'MIT Mystery Hunt 2011'}
Chris Luhrs,Noah Snyder,{'puzzle_name': 'Table for Four', 'hunt_name': 'MIT Mystery Hunt 2006'}
Noah Snyder,Joel Corbo,{'puzzle_name': 'The Cock Conundrum, Or, The Greatest Joke Ever Told', 'hunt_name': 'MIT Mystery Hunt 2006'}
Noah Snyder,Allen Rabinovich,{'puzzle_name': 'The Cock Conundrum, Or, The Greatest Joke Ever Told', 'hunt_name': 'MIT Mystery Hunt 2006'}
Joel Corbo,Allen Rabinovich,{'puzzle_name': 'The Cock Conundrum, Or, The Greatest Joke Ever Told', 'hunt_name': 'MIT Mystery Hunt 2006'}
Jeremy White,Mark Halpin,{'puzzle_name': 'Museum', 'hunt_name': 'MIT Mystery Hunt 2008'}
Mike Selinker,Jennifer Braun,{'puzzle_name': 'Round 1 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Mike Selinker,Thomas Snyder,{'puzzle_name': 'Round 1 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Mike Selinker,Tony Delgado,{'puzzle_name': 'Round 1 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Mike Selinker,Francis Heaney,{'puzzle_name': 'Round 1 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Mike Selinker,Michael King,{'puzzle_name': 'Round 1 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Mike Selinker,Zack Butler,{'puzzle_name': 'Round 1 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Jennifer Braun,Thomas Snyder,{'puzzle_name': 'Round 4 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Jennifer Braun,Tony Delgado,{'puzzle_name': 'Round 4 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Jennifer Braun,Francis Heaney,{'puzzle_name': 'Round 4 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Jennifer Braun,Michael King,{'puzzle_name': 'Round 4 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Jennifer Braun,Zack Butler,{'puzzle_name': 'Round 4 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Thomas Snyder,Tony Delgado,{'puzzle_name': 'Round 4 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Thomas Snyder,Francis Heaney,{'puzzle_name': 'Round 4 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Thomas Snyder,Michael King,{'puzzle_name': 'Round 4 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Thomas Snyder,Zack Butler,{'puzzle_name': 'Round 4 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Tony Delgado,Francis Heaney,{'puzzle_name': 'Round 4 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Tony Delgado,Michael King,{'puzzle_name': 'Round 4 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Tony Delgado,Zack Butler,{'puzzle_name': 'Round 4 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Francis Heaney,Michael King,{'puzzle_name': 'Round 4 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Francis Heaney,Zack Butler,{'puzzle_name': 'Round 4 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Francis Heaney,Wei-Hwa Huang,{'puzzle_name': 'Equal Billing', 'hunt_name': 'MIT Mystery Hunt 2012'}
Michael King,Zack Butler,{'puzzle_name': 'Round 4 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Nikki Akraboff,Lorinne Lampert,{'puzzle_name': 'Sorry, Wrong Number', 'hunt_name': 'MIT Mystery Hunt 2009'}
Nikki Akraboff,Stephen Peters,{'puzzle_name': 'Sorry, Wrong Number', 'hunt_name': 'MIT Mystery Hunt 2009'}
Lorinne Lampert,Stephen Peters,{'puzzle_name': 'Sorry, Wrong Number', 'hunt_name': 'MIT Mystery Hunt 2009'}
Mike Sylvia,Craig Kasper,{'puzzle_name': 'Production and Supply', 'hunt_name': 'MIT Mystery Hunt 2010'}
Mike Sylvia,Paul Melamud,{'puzzle_name': 'Production and Supply', 'hunt_name': 'MIT Mystery Hunt 2010'}
Mike Sylvia,Paul and Storm,{'puzzle_name': 'Production and Supply', 'hunt_name': 'MIT Mystery Hunt 2010'}
Craig Kasper,Paul Melamud,{'puzzle_name': 'Production and Supply', 'hunt_name': 'MIT Mystery Hunt 2010'}
Craig Kasper,Paul and Storm,{'puzzle_name': 'Production and Supply', 'hunt_name': 'MIT Mystery Hunt 2010'}
Paul Melamud,Paul and Storm,{'puzzle_name': 'Production and Supply', 'hunt_name': 'MIT Mystery Hunt 2010'}
Aaron Dinkin,Ari Nieh,{'puzzle_name': 'The Doors of Cambridge', 'hunt_name': 'MIT Mystery Hunt 2011'}
Kai Huang,Melissa Shi,{'puzzle_name': 'Panorama', 'hunt_name': 'MIT Mystery Hunt 2012'}
Josh Alman,Leon Zhou,{'puzzle_name': 'Missed Connections', 'hunt_name': 'MIT Mystery Hunt 2013'}
Josh Alman,Kevin Chen,{'puzzle_name': 'Missed Connections', 'hunt_name': 'MIT Mystery Hunt 2013'}
Leon Zhou,Kevin Chen,{'puzzle_name': 'Missed Connections', 'hunt_name': 'MIT Mystery Hunt 2013'}
Gaetano Schinco,Natalie Baca,{'puzzle_name': 'Lost in Translation', 'hunt_name': 'MIT Mystery Hunt 2013'}
Gaetano Schinco,Tanya Khovanova,{'puzzle_name': 'Lost in Translation', 'hunt_name': 'MIT Mystery Hunt 2013'}
Natalie Baca,Tanya Khovanova,{'puzzle_name': 'Lost in Translation', 'hunt_name': 'MIT Mystery Hunt 2013'}
Tanya Khovanova,Ken Fan,{'puzzle_name': 'Wordplay', 'hunt_name': 'MIT Mystery Hunt 2013'}
Tanya Khovanova,Matt Jordan,{'puzzle_name': 'Wordplay', 'hunt_name': 'MIT Mystery Hunt 2013'}
Tanya Khovanova,Derek Kisman,{'puzzle_name': 'Wordplay', 'hunt_name': 'MIT Mystery Hunt 2013'}
Tanya Khovanova,Ali Lloyd,{'puzzle_name': 'Wordplay', 'hunt_name': 'MIT Mystery Hunt 2013'}
